source,target,somop_id,tomop_id,scode,slabel,tcode,category,Harmonization Status
hepatomegaly,epamega,197676,197676,snomed:80515008,large liver,snomed:80515008,observation,exact match
diabetes,prediab,201820,201820,snomed:73211009,diabetes mellitus,snomed:73211009,condition_occurrence,exact match
afib_bl,flutter,313217,313217,snomed:49436004,atrial fibrillation,snomed:49436004,measurement,exact match
afib_12,f6_flutter,313217,313217,snomed:49436004,atrial fibrillation,snomed:49436004,measurement,exact match
afib_18,f7_flutter,313217,313217,snomed:49436004,atrial fibrillation,snomed:49436004,measurement,exact match
bundeltakblok,latobb,313791,313791,snomed:6374002,bundle branch block,snomed:6374002,measurement,exact match
bundeltakblok,bbranca,313791,313791,snomed:6374002,bundle branch block,snomed:6374002,measurement,exact match
bundeltakblok_18,f7_latobb,313791,313791,snomed:6374002,bundle branch block,snomed:6374002,measurement,exact match
bundeltakblok_18,f7_bbranca,313791,313791,snomed:6374002,bundle branch block,snomed:6374002,measurement,exact match
bundeltakblok_12,f6_bbranca,313791,313791,snomed:6374002,bundle branch block,snomed:6374002,measurement,exact match
bundeltakblok_12,f6_latobb,313791,313791,snomed:6374002,bundle branch block,snomed:6374002,measurement,exact match
causeofheartfailure,causc,316139,316139,snomed:84114007,heart failure,snomed:84114007,observation,exact match
causeofheartfailure,docucoro,316139,316139,snomed:84114007,heart failure,snomed:84114007,observation,exact match
causeofheartfailure,descausc,316139,316139,snomed:84114007,heart failure,snomed:84114007,observation,exact match
hypertension,preiper,316866,316866,snomed:38341003,hypertensive disorder,snomed:38341003,condition_occurrence,exact match
angina01,preang,321318,321318,snomed:194828000,angina pectoris,snomed:194828000,condition_occurrence,exact match
mi,insmitra,443962,443962,snomed:48724000,mitral valve regurgitation,snomed:48724000,measurement,exact match
stopyears,prefumo,761009,761009,snomed:1311000175101,smoking assessment,snomed:1311000175101,condition_occurrence,exact match
smoking,prefumo,761009,761009,snomed:1311000175101,smoking assessment,snomed:1311000175101,condition_occurrence,exact match
v3furo,f4_furosemi,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,drug_exposure,exact match
v3furo,f4_dfurosem,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,drug_exposure,exact match
dosefurov12,f6_furosemi,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,drug_exposure,exact match
dosefurov12,f6_dfurosem,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,drug_exposure,exact match
v12furo,f6_furosemi,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,drug_exposure,exact match
v12furo,f6_dfurosem,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,drug_exposure,exact match
dosefurov3,f4_furosemi,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,drug_exposure,exact match
dosefurov3,f4_dfurosem,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,drug_exposure,exact match
v1furo,f3_dfurosem,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,drug_exposure,exact match
v1furo,f3_furosemi,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,drug_exposure,exact match
blfuro,dfurosem,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,drug_exposure,exact match
blfuro,furosemi,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,drug_exposure,exact match
dosefurov6,f5_furosemi,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,drug_exposure,exact match
dosefurov6,f5_dfurosem,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,drug_exposure,exact match
v18furo,f7_furosemi,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,drug_exposure,exact match
v18furo,f7_dfurosem,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,drug_exposure,exact match
dosefurobl,dfurosem,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,drug_exposure,exact match
dosefurobl,furosemi,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,drug_exposure,exact match
dosefurov18,f7_furosemi,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,drug_exposure,exact match
dosefurov18,f7_dfurosem,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,drug_exposure,exact match
dosefurov1,f3_dfurosem,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,drug_exposure,exact match
dosefurov1,f3_furosemi,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,drug_exposure,exact match
v6furo,f5_furosemi,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,drug_exposure,exact match
v6furo,f5_dfurosem,956874,956874,rxnorm:4603,furosemide,rxnorm:4603,drug_exposure,exact match
dosespirov1,f3_dspirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,drug_exposure,exact match
dosespirov1,f3_spirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,drug_exposure,exact match
dosespirov3,f4_dspirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,drug_exposure,exact match
dosespirov3,f4_spirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,drug_exposure,exact match
dosespirobl,dspirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,drug_exposure,exact match
dosespirobl,spirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,drug_exposure,exact match
spiroadjbl,dspirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,drug_exposure,exact match
spiroadjbl,spirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,drug_exposure,exact match
spiroadj3,f4_dspirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,drug_exposure,exact match
spiroadj3,f4_spirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,drug_exposure,exact match
dosespirov18,f7_spirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,drug_exposure,exact match
dosespirov18,f7_dspirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,drug_exposure,exact match
spiroadj1,f3_dspirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,drug_exposure,exact match
spiroadj1,f3_spirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,drug_exposure,exact match
spiroadj6,f5_dspirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,drug_exposure,exact match
spiroadj6,f5_spirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,drug_exposure,exact match
spiroadj12,f6_dspirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,drug_exposure,exact match
spiroadj12,f6_spirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,drug_exposure,exact match
dosespirov6,f5_dspirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,drug_exposure,exact match
dosespirov6,f5_spirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,drug_exposure,exact match
dosespirov12,f6_dspirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,drug_exposure,exact match
dosespirov12,f6_spirono,970250,970250,rxnorm:9997,spironolactone,rxnorm:9997,drug_exposure,exact match
aspirin_v12,f6_asa,1112807,1112807,rxnorm:1191,aspirin,rxnorm:1191,drug_exposure,exact match
aspirin_v3,f4_asa,1112807,1112807,rxnorm:1191,aspirin,rxnorm:1191,drug_exposure,exact match
aspirin_v6,f5_asa,1112807,1112807,rxnorm:1191,aspirin,rxnorm:1191,drug_exposure,exact match
aspirin_bl,asa,1112807,1112807,rxnorm:1191,aspirin,rxnorm:1191,drug_exposure,exact match
aspirin_v18,f7_asa,1112807,1112807,rxnorm:1191,aspirin,rxnorm:1191,drug_exposure,exact match
aspirin_v1,f3_asa,1112807,1112807,rxnorm:1191,aspirin,rxnorm:1191,drug_exposure,exact match
hb18,f7_emoglob,3000963,3000963,loinc:718-7,hemoglobin [mass/volume] in blood,loinc:718-7,measurement,exact match
hb,emoglob,3000963,3000963,loinc:718-7,hemoglobin [mass/volume] in blood,loinc:718-7,measurement,exact match
hb12,f6_emoglob,3000963,3000963,loinc:718-7,hemoglobin [mass/volume] in blood,loinc:718-7,measurement,exact match
hb6,f5_emoglob,3000963,3000963,loinc:718-7,hemoglobin [mass/volume] in blood,loinc:718-7,measurement,exact match
rvramean,pas,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,measurement,exact match
bpsyststand3,f4_pas,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,measurement,exact match
bpsyststand6,f5_pas,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,measurement,exact match
bpsyststand1,f3_pas,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,measurement,exact match
bpsyst12,f6_pas,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,measurement,exact match
bpsyst1,f3_pas,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,measurement,exact match
bpsyst6,f5_pas,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,measurement,exact match
bpsyst,pas,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,measurement,exact match
bpsyst18,f7_pas,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,measurement,exact match
bpsyststand12,f6_pas,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,measurement,exact match
rvra,pas,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,measurement,exact match
bpsyststand18,f7_pas,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,measurement,exact match
bpsyststanding,pas,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,measurement,exact match
bpsyst3,f4_pas,3004249,3004249,loinc:8480-6,systolic blood pressure,loinc:8480-6,measurement,exact match
hdl,colehdl,3007070,3007070,loinc:2085-9,cholesterol in hdl [mass/volume] in serum or plasma,loinc:2085-9,measurement,exact match
hct,ematocri,3009542,3009542,loinc:20570-8,hematocrit [volume fraction] of blood,loinc:20570-8,measurement,exact match
hct6,f5_ematocri,3009542,3009542,loinc:20570-8,hematocrit [volume fraction] of blood,loinc:20570-8,measurement,exact match
hct12,f6_ematocri,3009542,3009542,loinc:20570-8,hematocrit [volume fraction] of blood,loinc:20570-8,measurement,exact match
hct18,f7_ematocri,3009542,3009542,loinc:20570-8,hematocrit [volume fraction] of blood,loinc:20570-8,measurement,exact match
crpsensitive,v1_hscrp,3010156,3010156,loinc:30522-7,c reactive protein [mass/volume] in serum or plasma by high sensitivity method,loinc:30522-7,measurement,exact match
hscrp_v3,v2_hscrp,3010156,3010156,loinc:30522-7,c reactive protein [mass/volume] in serum or plasma by high sensitivity method,loinc:30522-7,measurement,exact match
hscrp_bl,v1_hscrp,3010156,3010156,loinc:30522-7,c reactive protein [mass/volume] in serum or plasma by high sensitivity method,loinc:30522-7,measurement,exact match
bpdiast,pad,3012888,3012888,loinc:8462-4,diastolic blood pressure,loinc:8462-4,measurement,exact match
bpdiast18,f7_pad,3012888,3012888,loinc:8462-4,diastolic blood pressure,loinc:8462-4,measurement,exact match
bpdiaststand12,f6_pad,3012888,3012888,loinc:8462-4,diastolic blood pressure,loinc:8462-4,measurement,exact match
bpdiast12,f6_pad,3012888,3012888,loinc:8462-4,diastolic blood pressure,loinc:8462-4,measurement,exact match
bpdiast1,f3_pad,3012888,3012888,loinc:8462-4,diastolic blood pressure,loinc:8462-4,measurement,exact match
bpdiast3,f4_pad,3012888,3012888,loinc:8462-4,diastolic blood pressure,loinc:8462-4,measurement,exact match
bpdiast6,f5_pad,3012888,3012888,loinc:8462-4,diastolic blood pressure,loinc:8462-4,measurement,exact match
bpdiaststand3,f4_pad,3012888,3012888,loinc:8462-4,diastolic blood pressure,loinc:8462-4,measurement,exact match
bpdiaststand6,f5_pad,3012888,3012888,loinc:8462-4,diastolic blood pressure,loinc:8462-4,measurement,exact match
bpdiaststand1,f3_pad,3012888,3012888,loinc:8462-4,diastolic blood pressure,loinc:8462-4,measurement,exact match
bpdiaststand18,f7_pad,3012888,3012888,loinc:8462-4,diastolic blood pressure,loinc:8462-4,measurement,exact match
bpdiaststanding,pad,3012888,3012888,loinc:8462-4,diastolic blood pressure,loinc:8462-4,measurement,exact match
ast,last,3013721,3013721,loinc:1920-8,aspartate aminotransferase [enzymatic activity/volume] in serum or plasma,loinc:1920-8,measurement,exact match
ast,uast,3013721,3013721,loinc:1920-8,aspartate aminotransferase [enzymatic activity/volume] in serum or plasma,loinc:1920-8,measurement,exact match
ast,ast,3013721,3013721,loinc:1920-8,aspartate aminotransferase [enzymatic activity/volume] in serum or plasma,loinc:1920-8,measurement,exact match
creatinine,creatin,3016723,3016723,loinc:2160-0,creatinine [mass/volume] in serum or plasma,loinc:2160-0,measurement,exact match
crea1,f3_creatin,3016723,3016723,loinc:2160-0,creatinine [mass/volume] in serum or plasma,loinc:2160-0,measurement,exact match
crea6,f5_creatin,3016723,3016723,loinc:2160-0,creatinine [mass/volume] in serum or plasma,loinc:2160-0,measurement,exact match
crea12,f6_creatin,3016723,3016723,loinc:2160-0,creatinine [mass/volume] in serum or plasma,loinc:2160-0,measurement,exact match
crea3,f4_creatin,3016723,3016723,loinc:2160-0,creatinine [mass/volume] in serum or plasma,loinc:2160-0,measurement,exact match
crea18,f7_creatin,3016723,3016723,loinc:2160-0,creatinine [mass/volume] in serum or plasma,loinc:2160-0,measurement,exact match
age,age,3022304,3022304,loinc:30525-0,age,loinc:30525-0,person,exact match
