source,target,time_chf_variablelabel,gissi_hf_variablelabel,time_chf_categorical,gissi_hf_categorical,time_chf_visits,gissi_hf_visits,,somop_id,tomop_id,scode,slabel,tcode,tlabel,category,mapping type,source_visit,target_visit,source_type,source_unit,source_data_type,target_type,target_unit,target_data_type,Expert 1,Expert 2
ace_at_bl,trand,ACE-inhibitor at baseline,Trandolapril at baseline,1=yes|0=no,2=No | 3=Yes,month 0/ baseline,Visit1/baseline,,21601784,1342439,atc:c09aa,"""ace inhibitors, plain""",rxnorm:38454,trandolapril,drug_exposure,semantic match,baseline time,baseline time,binary_class_variable,,int,binary_class_variable,,int,1,1
ace_at_bl,ramip,ACE-inhibitor at baseline,Ramipril at baseline,1=yes|0=no,2=No | 3=Yes,month 0/ baseline,Visit1/baseline,,21601784,1334456,atc:c09aa,"""ace inhibitors, plain""",rxnorm:35296,ramipril,drug_exposure,semantic match,baseline time,baseline time,binary_class_variable,,int,binary_class_variable,,int,1,1
ace_at_bl,enala,ACE-inhibitor at baseline,Enalapril at baseline,1=yes|0=no,2=No | 3=Yes,month 0/ baseline,Visit1/baseline,,21601784,1341927,atc:c09aa,"""ace inhibitors, plain""",rxnorm:3827,enalapril,drug_exposure,semantic match,baseline time,baseline time,binary_class_variable,,int,binary_class_variable,,int,1,1
ace_at_bl,lisino,ACE-inhibitor at baseline,Lisinopril at baseline,1=yes|0=no,2=No | 3=Yes,month 0/ baseline,Visit1/baseline,,21601784,1308216,atc:c09aa,"""ace inhibitors, plain""",rxnorm:29046,lisonorpil,drug_exposure,semantic match,baseline time,baseline time,binary_class_variable,,int,binary_class_variable,,int,1,1
ace_at_bl,capto,ACE-inhibitor at baseline,Captopril at baseline,1=yes|0=no,2=No | 3=Yes,month 0/ baseline,Visit1/baseline,,21601784,1340128,atc:c09aa,"""ace inhibitors, plain""",rxnorm:1998,captopril,drug_exposure,semantic match,baseline time,baseline time,binary_class_variable,,int,binary_class_variable,,int,1,1
ace_at_bl,altace,ACE-inhibitor at baseline,other ACE-inhibitor at baseline,1=yes|0=no,2=No | 3=Yes,month 0/ baseline,Visit1/baseline,,21601784,21601784,atc:c09aa,"""ace inhibitors, plain""",atc:c09aa,"""ace inhibitors, plain""",drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,binary_class_variable,,int,1,1
ace_at_v1,f3_capto,ACE-inhibitor at visit1,Captopril at 1 month follow-up,1=yes|0=no,2=No | 3=Yes,month 1,Visit3/1month,,21601784,1340128,atc:c09aa,"""ace inhibitors, plain""",rxnorm:1998,captopril,drug_exposure,semantic match,follow-up 1 month,follow-up 1 month,binary_class_variable,,int,binary_class_variable,,int,1,1
ace_at_v1,f3_trand,ACE-inhibitor at visit1,Trandolapril at 1 month follow-up,1=yes|0=no,2=No | 3=Yes,month 1,Visit3/1month,,21601784,1342439,atc:c09aa,"""ace inhibitors, plain""",rxnorm:38454,trandolapril,drug_exposure,semantic match,follow-up 1 month,follow-up 1 month,binary_class_variable,,int,binary_class_variable,,int,1,1
ace_at_v1,f3_ramip,ACE-inhibitor at visit1,Ramipril at 1 month follow-up,1=yes|0=no,2=No | 3=Yes,month 1,Visit3/1month,,21601784,1334456,atc:c09aa,"""ace inhibitors, plain""",rxnorm:35296,ramipril,drug_exposure,semantic match,follow-up 1 month,follow-up 1 month,binary_class_variable,,int,binary_class_variable,,int,1,1
ace_at_v1,f3_enala,ACE-inhibitor at visit1,Enalapril at 1 month follow-up,1=yes|0=no,2=No | 3=Yes,month 1,Visit3/1month,,21601784,1341927,atc:c09aa,"""ace inhibitors, plain""",rxnorm:3827,enalapril,drug_exposure,semantic match,follow-up 1 month,follow-up 1 month,binary_class_variable,,int,binary_class_variable,,int,1,1
ace_at_v1,f3_lisino,ACE-inhibitor at visit1,Lisinopril at 1 month follow-up,1=yes|0=no,2=No | 3=Yes,month 1,Visit3/1month,,21601784,1308216,atc:c09aa,"""ace inhibitors, plain""",rxnorm:29046,lisonorpil,drug_exposure,semantic match,follow-up 1 month,follow-up 1 month,binary_class_variable,,int,binary_class_variable,,int,1,1
ace_at_v1,f3_altace,ACE-inhibitor at visit1,other ACE-inhibitor at 1 month follow-up,1=yes|0=no,2=No | 3=Yes,month 1,Visit3/1month,,21601784,21601784,atc:c09aa,"""ace inhibitors, plain""",atc:c09aa,"""ace inhibitors, plain""",drug_exposure,exact match,follow-up 1 month,follow-up 1 month,binary_class_variable,,int,binary_class_variable,,int,1,1
ace_at_v12,f6_trand,ACE-inhibitor at visit12,Trandolapril at 1 year follow up,1=yes|0=no,2=No | 3=Yes,month 12,Visit6/12months,,21601784,1342439,atc:c09aa,"""ace inhibitors, plain""",rxnorm:38454,trandolapril,drug_exposure,semantic match,follow-up 1 year,follow-up 1 year,binary_class_variable,,int,binary_class_variable,,int,1,1
ace_at_v12,f6_enala,ACE-inhibitor at visit12,Enalapril at 1 year follow up,1=yes|0=no,2=No | 3=Yes,month 12,Visit6/12months,,21601784,1341927,atc:c09aa,"""ace inhibitors, plain""",rxnorm:3827,enalapril,drug_exposure,semantic match,follow-up 1 year,follow-up 1 year,binary_class_variable,,int,binary_class_variable,,int,1,1
ace_at_v12,f6_capto,ACE-inhibitor at visit12,Captopril at 1 year follow up,1=yes|0=no,2=No | 3=Yes,month 12,Visit6/12months,,21601784,1340128,atc:c09aa,"""ace inhibitors, plain""",rxnorm:1998,captopril,drug_exposure,semantic match,follow-up 1 year,follow-up 1 year,binary_class_variable,,int,binary_class_variable,,int,1,1
ace_at_v12,f6_altace,ACE-inhibitor at visit12,other ACE-inhibitor at 1 year follow up,1=yes|0=no,2=No | 3=Yes,month 12,Visit6/12months,,21601784,21601784,atc:c09aa,"""ace inhibitors, plain""",atc:c09aa,"""ace inhibitors, plain""",drug_exposure,exact match,follow-up 1 year,follow-up 1 year,binary_class_variable,,int,binary_class_variable,,int,1,1
ace_at_v12,f6_lisino,ACE-inhibitor at visit12,Lisinopril at 1 year follow up,1=yes|0=no,2=No | 3=Yes,month 12,Visit6/12months,,21601784,1308216,atc:c09aa,"""ace inhibitors, plain""",rxnorm:29046,lisonorpil,drug_exposure,semantic match,follow-up 1 year,follow-up 1 year,binary_class_variable,,int,binary_class_variable,,int,1,1
ace_at_v12,f6_ramip,ACE-inhibitor at visit12,Ramipril at 1 year follow up,1=yes|0=no,2=No | 3=Yes,month 12,Visit6/12months,,21601784,1334456,atc:c09aa,"""ace inhibitors, plain""",rxnorm:35296,ramipril,drug_exposure,semantic match,follow-up 1 year,follow-up 1 year,binary_class_variable,,int,binary_class_variable,,int,1,1
ace_at_v18,f7_trand,ACE-inhibitor at visit18,Trandolapril at 18 month follow up,1=yes|0=no,2=No | 3=Yes,month 18,Visit7/18months,,21601784,1342439,atc:c09aa,"""ace inhibitors, plain""",rxnorm:38454,trandolapril,drug_exposure,semantic match,follow-up 18 months,follow-up 18 months,binary_class_variable,,int,binary_class_variable,,int,1,1
ace_at_v18,f7_capto,ACE-inhibitor at visit18,Captopril at 18 month follow up,1=yes|0=no,2=No | 3=Yes,month 18,Visit7/18months,,21601784,1340128,atc:c09aa,"""ace inhibitors, plain""",rxnorm:1998,captopril,drug_exposure,semantic match,follow-up 18 months,follow-up 18 months,binary_class_variable,,int,binary_class_variable,,int,1,1
ace_at_v18,f7_enala,ACE-inhibitor at visit18,Enalapril at 18 month follow up,1=yes|0=no,2=No | 3=Yes,month 18,Visit7/18months,,21601784,1341927,atc:c09aa,"""ace inhibitors, plain""",rxnorm:3827,enalapril,drug_exposure,semantic match,follow-up 18 months,follow-up 18 months,binary_class_variable,,int,binary_class_variable,,int,1,1
ace_at_v18,f7_altace,ACE-inhibitor at visit18,other ACE-inhibitor at 18 month follow up,1=yes|0=no,2=No | 3=Yes,month 18,Visit7/18months,,21601784,21601784,atc:c09aa,"""ace inhibitors, plain""",atc:c09aa,"""ace inhibitors, plain""",drug_exposure,exact match,follow-up 18 months,follow-up 18 months,binary_class_variable,,int,binary_class_variable,,int,1,1
ace_at_v18,f7_ramip,ACE-inhibitor at visit18,Ramipril at 18 month follow up,1=yes|0=no,2=No | 3=Yes,month 18,Visit7/18months,,21601784,1334456,atc:c09aa,"""ace inhibitors, plain""",rxnorm:35296,ramipril,drug_exposure,semantic match,follow-up 18 months,follow-up 18 months,binary_class_variable,,int,binary_class_variable,,int,1,1
ace_at_v18,f7_lisino,ACE-inhibitor at visit18,Lisinopril at 18 month follow up,1=yes|0=no,2=No | 3=Yes,month 18,Visit7/18months,,21601784,1308216,atc:c09aa,"""ace inhibitors, plain""",rxnorm:29046,lisonorpil,drug_exposure,semantic match,follow-up 18 months,follow-up 18 months,binary_class_variable,,int,binary_class_variable,,int,1,1
ace_at_v3,f4_enala,ACE-inhibitor at visit3,Enalapril at 3 month follow up,1=yes|0=no,2=No | 3=Yes,month 3,Visit4/3months,,21601784,1341927,atc:c09aa,"""ace inhibitors, plain""",rxnorm:3827,enalapril,drug_exposure,semantic match,follow-up 3 months,follow-up 3 months,binary_class_variable,,int,binary_class_variable,,int,1,1
ace_at_v3,f4_capto,ACE-inhibitor at visit3,Captopril at 3 month follow up,1=yes|0=no,2=No | 3=Yes,month 3,Visit4/3months,,21601784,1340128,atc:c09aa,"""ace inhibitors, plain""",rxnorm:1998,captopril,drug_exposure,semantic match,follow-up 3 months,follow-up 3 months,binary_class_variable,,int,binary_class_variable,,int,1,1
ace_at_v3,f4_altace,ACE-inhibitor at visit3,other ACE-inhibitor at 3 month follow up,1=yes|0=no,2=No | 3=Yes,month 3,Visit4/3months,,21601784,21601784,atc:c09aa,"""ace inhibitors, plain""",atc:c09aa,"""ace inhibitors, plain""",drug_exposure,exact match,follow-up 3 months,follow-up 3 months,binary_class_variable,,int,binary_class_variable,,int,1,1
ace_at_v3,f4_ramip,ACE-inhibitor at visit3,Ramipril at 3 month follow up,1=yes|0=no,2=No | 3=Yes,month 3,Visit4/3months,,21601784,1334456,atc:c09aa,"""ace inhibitors, plain""",rxnorm:35296,ramipril,drug_exposure,semantic match,follow-up 3 months,follow-up 3 months,binary_class_variable,,int,binary_class_variable,,int,1,1
ace_at_v3,f4_lisino,ACE-inhibitor at visit3,Lisinopril at 3 month follow up,1=yes|0=no,2=No | 3=Yes,month 3,Visit4/3months,,21601784,1308216,atc:c09aa,"""ace inhibitors, plain""",rxnorm:29046,lisonorpil,drug_exposure,semantic match,follow-up 3 months,follow-up 3 months,binary_class_variable,,int,binary_class_variable,,int,1,1
ace_at_v3,f4_trand,ACE-inhibitor at visit3,Trandolapril at 3 month follow up,1=yes|0=no,2=No | 3=Yes,month 3,Visit4/3months,,21601784,1342439,atc:c09aa,"""ace inhibitors, plain""",rxnorm:38454,trandolapril,drug_exposure,semantic match,follow-up 3 months,follow-up 3 months,binary_class_variable,,int,binary_class_variable,,int,1,1
ace_at_v6,f5_altace,ACE-inhibitor at visit6,other ACE-inhibitor at 6 month follow up,1=yes|0=no,2=No | 3=Yes,month 6,Visit5/6months,,21601784,21601784,atc:c09aa,"""ace inhibitors, plain""",atc:c09aa,"""ace inhibitors, plain""",drug_exposure,exact match,follow-up 6 months,follow-up 6 months,binary_class_variable,,int,binary_class_variable,,int,1,1
ace_at_v6,f5_ramip,ACE-inhibitor at visit6,Ramipril at 6 month follow up,1=yes|0=no,2=No | 3=Yes,month 6,Visit5/6months,,21601784,1334456,atc:c09aa,"""ace inhibitors, plain""",rxnorm:35296,ramipril,drug_exposure,semantic match,follow-up 6 months,follow-up 6 months,binary_class_variable,,int,binary_class_variable,,int,1,1
ace_at_v6,f5_capto,ACE-inhibitor at visit6,Captopril at 6 month follow up,1=yes|0=no,2=No | 3=Yes,month 6,Visit5/6months,,21601784,1340128,atc:c09aa,"""ace inhibitors, plain""",rxnorm:1998,captopril,drug_exposure,semantic match,follow-up 6 months,follow-up 6 months,binary_class_variable,,int,binary_class_variable,,int,1,1
ace_at_v6,f5_lisino,ACE-inhibitor at visit6,Lisinopril at 6 month follow up,1=yes|0=no,2=No | 3=Yes,month 6,Visit5/6months,,21601784,1308216,atc:c09aa,"""ace inhibitors, plain""",rxnorm:29046,lisonorpil,drug_exposure,semantic match,follow-up 6 months,follow-up 6 months,binary_class_variable,,int,binary_class_variable,,int,1,1
ace_at_v6,f5_enala,ACE-inhibitor at visit6,Enalapril at 6 month follow up,1=yes|0=no,2=No | 3=Yes,month 6,Visit5/6months,,21601784,1341927,atc:c09aa,"""ace inhibitors, plain""",rxnorm:3827,enalapril,drug_exposure,semantic match,follow-up 6 months,follow-up 6 months,binary_class_variable,,int,binary_class_variable,,int,1,1
ace_at_v6,f5_trand,ACE-inhibitor at visit6,Trandolapril at 6 month follow up,1=yes|0=no,2=No | 3=Yes,month 6,Visit5/6months,,21601784,1342439,atc:c09aa,"""ace inhibitors, plain""",rxnorm:38454,trandolapril,drug_exposure,semantic match,follow-up 6 months,follow-up 6 months,binary_class_variable,,int,binary_class_variable,,int,1,1
afib_12,f6_flutter,atrial fibrilation during echocardiography y/n at visit12,Atrial fibrillation / Flutter at 1 year follow up,1=yes|0=no,0 = No | 1 = Yes,month 12,Visit6/12months,,313217,313217,snomed:49436004,atrial fibrillation,snomed:49436004,atrial fibrillation,measurement,exact match,follow-up 1 year,follow-up 1 year,binary_class_variable,,int,binary_class_variable,,int,1,1
afib_18,f7_flutter,atrial fibrilation during echocardiography y/n at visit18,Atrial fibrillation / Flutter at 18 month follow up,1=yes|0=no,0 = No | 1 = Yes,month 18,Visit7/18months,,313217,313217,snomed:49436004,atrial fibrillation,snomed:49436004,atrial fibrillation,measurement,exact match,follow-up 18 months,follow-up 18 months,binary_class_variable,,int,binary_class_variable,,int,1,1
afib_bl,flutter,atrial fibrilation during echocardiography y/n at baseline,Atrial fibrillation / Flutter at baseline,1=yes|0=no,F = No | T = Yes,month 0/ baseline,Visit1/baseline,,313217,313217,snomed:49436004,atrial fibrillation,snomed:49436004,atrial fibrillation,measurement,exact match,baseline time,baseline time,binary_class_variable,,int,binary_class_variable,,str,1,1
age,age,Age in years,Age at randomization,,,month 0/ baseline,Visit1/baseline,,3022304,3022304,loinc:30525-0,age,loinc:30525-0,age,person,exact match,baseline time,baseline time,continuous_variable,year,float,continuous_variable,,int,1,1
alt,alt,ALT at baseline,ALT (U/L) at baseline,,,month 0/ baseline,Visit1/baseline,,46235106,46235106,loinc:76625-3,alanine aminotransferase [enzymatic activity/volume] in blood,loinc:76625-3,alanine aminotransferase [enzymatic activity/volume] in blood,measurement,exact match,baseline time,baseline time,continuous_variable,international unit per liter,float,continuous_variable,unit per liter,float,1,1
angina01,preang,having history of Angina at baseline,Angina pectoris at baseline,1=yes|0=no,2 = no | 3 = yes,month 0/ baseline,Visit1/baseline,,321318,321318,snomed:194828000,angina pectoris,snomed:194828000,angina pectoris,condition_occurrence,exact match,baseline time,baseline time,binary_class_variable,,int,binary_class_variable,,int,1,1
ant_mi,preima,History of anterior myocardial infarction,Acute Myocardial Infarction at baseline,1=yes|0=no,2 = no | 3 = yes,month 0/ baseline,Visit1/baseline,,4329847,312327,snomed:22298006,myocardial infarction,snomed:57054005,acute myocardial infarction,condition_occurrence,semantic match,baseline time,baseline time,binary_class_variable,,int,binary_class_variable,,int,1,1
antidepress,antidepr,uses anyantidepressive medication useat Baseline y/n ,Antidepressants at baseline,1=yes|0=no,2=No | 3=Yes,month 0/ baseline,Visit1/baseline,,21604686,21604686,atc:n06a,antidepressants,atc:n06a,antidepressants,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,binary_class_variable,,int,1,1
as,stenao,aortic stenosis at baseline,Aortic stenosis at baseline,0 = no | 1 = trivial| 2=mild | 3=moderate | 4=severe, 2 = no | 3 = yes,month 0/ baseline,Visit1/baseline,,4189343,40560653,snomed:60573004,aortic valve stenosis,snomed:390722003,aortic stenosis,measurement,text match,baseline time,baseline time,multi_class_variable,,int,binary_class_variable,,int,1,1
ast,ast,AST at baseline,AST (U/L) at baseline,,,month 0/ baseline,Visit1/baseline,,3013721,3013721,loinc:1920-8,aspartate aminotransferase [enzymatic activity/volume] in serum or plasma,loinc:1920-8,aspartate aminotransferase [enzymatic activity/volume] in serum or plasma,measurement,exact match,baseline time,baseline time,continuous_variable,international unit per liter,float,continuous_variable,unit per liter,float,1,1
atii_at_bl,sartani,ATII-antagonist at Baseline,Sartans at baseline,1=yes|0=no,2=No | 3=Yes,month 0/ baseline,Visit1/baseline,,21601823,21601823,atc:c09ca,"""angiotensin ii receptor blockers (arbs), plain""",atc:c09ca,"""angiotensin ii receptor blockers (arbs), plain""",drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,binary_class_variable,,int,1,1
atii_at_v1,f3_sartani,ATII-antagonist at visit1,Sartans at 1 month follow-up,1=yes|0=no,2=No | 3=Yes,month 1,Visit3/1month,,21601823,21601823,atc:c09ca,"""angiotensin ii receptor blockers (arbs), plain""",atc:c09ca,"""angiotensin ii receptor blockers (arbs), plain""",drug_exposure,exact match,follow-up 1 month,follow-up 1 month,binary_class_variable,,int,binary_class_variable,,int,1,1
atii_at_v12,f6_sartani,ATII-antagonist at Visit12,Sartans at 1 year follow up,1=yes|0=no,2=No | 3=Yes,month 12,Visit6/12months,,21601823,21601823,atc:c09ca,"""angiotensin ii receptor blockers (arbs), plain""",atc:c09ca,"""angiotensin ii receptor blockers (arbs), plain""",drug_exposure,exact match,follow-up 1 year,follow-up 1 year,binary_class_variable,,int,binary_class_variable,,int,1,1
atii_at_v18,f7_sartani,ATII-antagonist at Visit18,Sartans at 18 month follow up,1=yes|0=no,2=No | 3=Yes,month 18,Visit7/18months,,21601823,21601823,atc:c09ca,"""angiotensin ii receptor blockers (arbs), plain""",atc:c09ca,"""angiotensin ii receptor blockers (arbs), plain""",drug_exposure,exact match,follow-up 18 months,follow-up 18 months,binary_class_variable,,int,binary_class_variable,,int,1,1
